SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
1,-6,1,-3,-14,3,-28,13,8,-5,-5,4,3,-2,-15,-7,3,1,11,12,14,2,4,11,-4,-13,NaN,NaN,NaN,12,10,7,NaN,NaN,-6,NaN,13,0,NaN,NaN,-1,NaN,12,-9,10,NaN,-8,1,NaN,11,NaN
2,34,-13,0,-12,14,-16,-4,-22,0,-6,-7,2,7,-9,-7,-21,5,-17,-3,-13,6,15,-39,6,-28,NaN,NaN,-11,NaN,NaN,NaN,NaN,-18,NaN,-12,NaN,4,-7,34,NaN,NaN,-8,NaN,-13,NaN,-7,134,NaN,-4,NaN
3,14,0,11,-13,-15,10,0,-11,6,3,-11,-1,10,13,-8,3,-1,-6,22,17,-1,1,-9,14,4,NaN,NaN,NaN,31,-14,-4,-2,NaN,NaN,NaN,9,-15,NaN,NaN,20,0,NaN,NaN,NaN,0,-10,2,NaN,11,-6
4,-29,6,19,-8,1,-7,14,5,20,-1,11,-6,-32,4,-5,32,6,-14,12,14,-1,20,-19,34,-21,NaN,NaN,NaN,26,-4,55,10,NaN,NaN,NaN,-24,-35,NaN,NaN,-19,159,NaN,NaN,NaN,-16,-35,-11,NaN,30,-12
5,29,1,11,3,-2,2,7,11,-6,-2,-10,11,1,-16,4,-31,-6,-9,-15,19,0,6,5,-17,4,NaN,-3,NaN,3,-52,NaN,22,NaN,NaN,NaN,-18,NaN,NaN,4,10,-7,NaN,-10,0,NaN,-17,6,NaN,-30,NaN
6,-3,4,-3,-12,62,9,4,-5,-18,4,-17,-8,1,-1,1,14,19,12,28,14,0,-4,8,6,8,NaN,NaN,NaN,NaN,-15,NaN,16,NaN,-23,NaN,NaN,NaN,NaN,-12,-15,-5,NaN,NaN,NaN,-3,NaN,33,-10,NaN,19
7,-19,7,-10,-10,-6,18,-4,1,5,7,3,0,-19,8,2,-9,-2,-12,3,-10,4,-15,4,-14,-17,NaN,-3,4,NaN,NaN,NaN,NaN,NaN,-4,NaN,NaN,NaN,12,NaN,NaN,6,-6,-7,2,-1,NaN,NaN,9,9,NaN
8,1,42,-1,2,-2,5,6,-7,-3,-7,-10,-26,19,-15,7,-21,6,-14,16,13,4,26,5,-3,18,NaN,NaN,-103,NaN,NaN,NaN,5,26,29,NaN,NaN,NaN,NaN,NaN,19,NaN,3,NaN,17,-27,56,NaN,13,NaN,NaN
9,-3,-11,9,-5,2,-6,8,-14,-2,4,3,-23,99,1,-2,5,9,-11,158,-9,-6,16,-10,-11,-2,NaN,NaN,NaN,19,19,-43,6,NaN,NaN,NaN,-58,6,NaN,NaN,-1,31,NaN,NaN,NaN,1,6,-38,NaN,28,-12
10,-27,-5,-9,30,7,-2.83E-15,15,-10,-1,8,-8,17,-11,-8,46,11,15,-13,-6,2,-4,-10,-12,-2,-10,NaN,12,NaN,NaN,2,14,NaN,NaN,NaN,NaN,NaN,NaN,-13,NaN,NaN,-3,20,2,4,NaN,NaN,6,NaN,NaN,NaN
11,0,-13,-13,24,-1,0,-5,12,11,-2,4,7,-4,3,7,4,-27,-2,18,2,24,-6,1,14,7,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,3,-36,14,NaN,-2,0,NaN,4,NaN,11,NaN,18,NaN
12,-3,-5,14,-13,0,8,-4,10,8,3,26,5,8,24,-6,21,-20,15,-31,9,-21,21,-10,3,13,NaN,NaN,NaN,NaN,NaN,24,NaN,15,NaN,-37,-14,-14,-15,-38,NaN,-8,NaN,61,-15,24,NaN,-14,NaN,-6,7
13,-14,26,-10,-5,-21,-5,25,-12,1,4,0,-5,14,-7,12,0,7,18,-18,5,3,-10,14,2,-9,NaN,-23,NaN,NaN,-8,NaN,NaN,13,-9,36,NaN,-9,28,10,NaN,NaN,14,-6,NaN,3,NaN,NaN,12,16,8
14,15,-3,6,-23,-10,3,16,-12,-14,6,2,8,15,17,-8,4,0,-5,14,-18,-29,3,-7,26,11,NaN,NaN,NaN,40,175,-59,33,NaN,NaN,NaN,168,156,NaN,NaN,7,-11,NaN,NaN,NaN,14,-3,-18,NaN,-18,-32
15,11,-10,9,12,6,29,1,18,-2,0,10,-12,-10,0,-7,-10,12,-13,-11,-3,-3,-10,-8,-64,-8,NaN,NaN,NaN,NaN,NaN,NaN,-4,-7,NaN,NaN,6,NaN,-10,NaN,NaN,NaN,NaN,84,13,-7,NaN,NaN,NaN,NaN,NaN
16,-21,-5,3,9,40,7,-3,-107,19,2,3,24,4,-6,6,2,-15,-12,20,13,1,-3,-30,-12,1,NaN,24,NaN,NaN,-9,57,NaN,NaN,NaN,NaN,NaN,NaN,-27,NaN,NaN,-37,-5,36,14,NaN,NaN,-20,NaN,NaN,NaN
17,11,7,-29,8,-14,1,-7,4,7,0,-26,-8,-14,-23,1,-7,14,4,9,15,5,3,7,10,1,NaN,-3,NaN,1,NaN,9,21,26,NaN,NaN,NaN,-9,20,NaN,NaN,-6,-7,NaN,-6,39,NaN,-25,NaN,NaN,NaN
18,11,-40,-13,19,-3,7,-18,5,12,3,17,6,14,16,-3,29,-22,7,11,-23,48,-6,10,7,-26,NaN,78,NaN,NaN,-28,40,NaN,NaN,NaN,NaN,NaN,NaN,37,NaN,NaN,-2,-15,-4,14,NaN,NaN,-2,NaN,NaN,NaN
19,4,2,11,19,-1,7,7,-9,9,9,10,4,13,9,-16,5,-3,1,8,11,-2,-5,0,-6,4,NaN,NaN,NaN,36,175,0,31,NaN,NaN,NaN,-44,28,NaN,NaN,31,6,NaN,NaN,NaN,7,-2,-43,NaN,-3,-9
20,3,-17,0,-6,34,4,-9,-4,7,9,-5,-2,-8,-3,-8,6,-1,-15,-7,-16,-18,-10,-21,-7,-3,NaN,10,NaN,NaN,-11,28,NaN,NaN,NaN,NaN,NaN,NaN,-15,NaN,NaN,-7,-25,63,-10,NaN,NaN,-55,NaN,NaN,NaN
21,-7,1,22,-3,17,4,9,-19,31,18,45,-19,-1,-9,-1,3,-25,-9,4,1,10,-5,10,1,-13,NaN,NaN,-36,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,-8,8,13,NaN,6,-21,NaN,19,NaN,19,NaN,6,NaN
22,13,20,23,-12,26,0,9,22,-47,6,-12,177,9,-23,15,20,-15,9,8,-31,-24,5,-43,-26,-11,NaN,NaN,NaN,22,-1,19,NaN,NaN,32,NaN,6,44,NaN,NaN,-50,NaN,-14,14,31,NaN,22,22,NaN,-19,NaN
23,0,8,8,-7,-2,0,-1,-1,10,8,-16,-1,-10,7,13,-19,11,9,17,-12,-13,-5,4,12,-11,NaN,26,NaN,NaN,NaN,NaN,13,-7,0,NaN,NaN,-77,NaN,31,15,13,8,9,NaN,-14,NaN,6,11,NaN,3
24,10,-6,-9,5,-15,-11,12,20,-10,6,5,-1,-9,-8,0,-30,-4,-27,10,-3,-19,-12,-7,19,0,NaN,-47,7,-11,NaN,14,NaN,NaN,NaN,24,-3,NaN,NaN,NaN,-12,NaN,NaN,-61,-28,12,-2,17,NaN,NaN,-30
25,-67,-6,12,-8,5,48,8,-3,15,6,-10,38,-4,8,13,9,2,22,18,30,0,22,13,3,27,NaN,NaN,NaN,NaN,-9,NaN,NaN,NaN,NaN,-4,17,25,16,33,NaN,NaN,4,NaN,NaN,-2,NaN,-13,-29,17,NaN
26,7,-7,-3,13,-13,0,-2,-10,-1,-11,8,1,28,-8,-7,-8,-17,4,-1,-16,-7,-22,1,10,-13,NaN,NaN,NaN,NaN,NaN,6,NaN,-13,NaN,-29,NaN,3,NaN,NaN,32,6,NaN,24,NaN,NaN,NaN,-7,NaN,18,55
27,16,4,7,-25,-9,-33,-7,3,-16,4,8,-7,-1,-6,9,-9,3,-16,5,11,8,10,-1,13,-12,NaN,8,-12,NaN,NaN,NaN,NaN,39,-7,NaN,-5,4,NaN,NaN,NaN,NaN,-12,NaN,-22,NaN,2,10,NaN,NaN,NaN
