SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
1,0.99484,4.9218,4.3808,3.5605,1.5359,0.33161,1.3963,2.9845,0.62832,5.7247,0.54105,3.6303,2.5482,3.8921,1.1519,4.9218,2.0944,2.7751,2.7402,2.0595,2.1817,4.9742,2.0071,3.7874,1.1345,5.5501,1.3265,3.2987,4.8869,5.6025,2.426,0.10472,1.9373,4.4506,4.6426,2.0595,4.7822,1.6406,1.5708,0.29671,0.94248,1.6581,3.0543,5.4105,1.6232,1.117,5.4629,0.15708,1.7279,5.8119
2,5.969,0.71558,5.3233,5.62,4.1888,1.5359,4.2935,3.2114,2.7576,4.2761,3.1416,1.0123,5.3407,2.0246,5.6374,5.9516,4.7298,2.1817,5.3582,5.9167,0.75049,0.40143,0.29671,0.64577,0.10472,3.351,0.89012,2.2515,6.0737,2.3911,1.4312,1.7453,0.59341,4.5379,0.59341,5.7072,5.7945,2.9147,3.543,6.0912,5.236,1.1519,1.9897,1.4661,3.927,2.9845,0.34907,1.1694,2.9322,3.7176
3,3.9619,1.3788,2.3562,1.9373,4.8171,2.1991,1.9722,1.0297,1.501,1.5359,4.7298,0.71558,1.885,3.2638,4.7473,2.1817,2.3387,4.9393,2.042,0.29671,0.64577,2.1991,3.4732,6.0737,1.3265,4.6426,4.7647,2.9322,2.6005,5.0265,3.6826,5.3756,3.3685,1.7628,1.9548,0.5236,1.3788,4.0143,5.1313,6.0737,2.7053,4.311,5.236,2.2515,5.0615,1.1345,0.59341,5.5152,2.4435,0.7854
4,3.9619,1.3788,2.3562,1.9373,4.8171,2.1991,1.9722,1.0297,1.501,1.5359,4.7298,0.71558,1.885,3.2638,4.7473,2.1817,2.3387,4.9393,2.042,0.29671,0.64577,2.1991,3.4732,6.0737,1.3265,4.6426,4.7647,2.9322,2.6005,5.0265,3.6826,5.3756,3.3685,1.7628,1.9548,0.5236,1.3788,4.0143,5.1313,6.0737,2.7053,4.311,5.236,2.2515,5.0615,1.1345,0.59341,5.5152,2.4435,0.7854
5,0.12217,0.41888,2.042,2.4609,1.5708,4.6775,6.161,6.0388,5.7247,5.6549,5.8818,3.6303,0.59341,0.90757,3.4907,1.6581,6.0912,4.5553,4.9742,3.2114,1.0123,2.8449,4.5204,1.4661,4.7124,6.1087,0.94248,1.5882,2.1991,0.50615,0.97738,5.7247,6.0563,1.9373,2.6878,3.2987,0.38397,5.7072,3.1067,3.002,4.7822,1.8675,4.3633,3.159,5.2709,3.5954,3.1765,0.89012,1.3788,5.3582
6,4.3808,5.2011,4.4157,0.7854,5.8818,1.6232,2.6704,5.7072,4.6949,2.3213,0.5236,2.7925,2.5656,1.5359,3.927,5.4803,3.9619,2.1118,3.4208,5.777,6.0214,0.83776,2.3736,4.3633,3.6303,2.9322,3.2463,1.6232,2.3562,6.1261,2.6704,3.8223,4.3284,3.3336,3.8397,4.119,4.2412,2.618,0.069813,3.0194,3.194,4.4855,4.9916,3.6128,2.0595,1.4137,2.6704,4.6077,5.7596,5.8992
7,5.8294,0.73304,6.2308,3.2463,3.3685,5.5152,0.13963,3.5605,4.6949,4.9916,3.4558,0.43633,5.1836,3.002,1.7628,3.4732,3.2812,5.428,1.0472,5.1138,3.3161,2.4784,1.4486,4.852,5.6374,5.6374,1.0647,2.1118,5.5152,1.9897,0.76794,2.8623,5.969,4.7997,0.34907,4.2237,5.0964,4.0143,3.002,2.6354,3.0194,0.17453,3.2114,6.2134,5.2534,6.1959,4.7298,1.4835,5.6025,4.6426
8,2.1293,5.236,4.9742,6.0039,5.0091,2.618,1.85,5.4105,2.7053,2.8972,0.71558,3.2638,2.6005,0.71558,0.20944,1.7104,2.5831,3.1416,4.5728,2.5831,2.9147,4.0666,1.1345,4.9567,4.0841,4.9742,2.3213,0.45379,4.9916,0.57596,5.9516,5.7421,2.3213,5.8294,0.45379,5.6723,4.5902,5.3233,5.8119,5.8643,3.6128,5.9167,5.3058,4.0143,0.40143,3.5081,6.1087,3.3161,4.468,1.5184
9,3.9619,1.3788,2.3562,1.9373,4.8171,2.1991,1.9722,1.0297,1.501,1.5359,4.7298,0.71558,1.885,3.2638,4.7473,2.1817,2.3387,4.9393,2.042,0.29671,0.64577,2.1991,3.4732,6.0737,1.3265,4.6426,4.7647,2.9322,2.6005,5.0265,3.6826,5.3756,3.3685,1.7628,1.9548,0.5236,1.3788,4.0143,5.1313,6.0737,2.7053,4.311,5.236,2.2515,5.0615,1.1345,0.59341,5.5152,2.4435,0.7854
10,6.1785,5.4629,5.9167,3.4208,4.6077,2.042,3.4732,1.6581,1.0472,5.4454,6.0388,1.9199,2.0769,1.7279,3.159,2.7751,3.7525,4.0317,2.1991,4.66,3.4732,4.9742,4.2412,1.7977,0.50615,3.9794,4.5902,6.0737,1.3788,0.38397,5.62,4.1539,3.9095,3.8397,2.3562,4.7124,2.1642,1.4835,0.29671,4.5728,2.2864,2.5482,5.4454,2.3736,0.20944,1.2217,3.2638,0.89012,3.3161,5.4105
