SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
1,0.89012,4.9393,4.3284,3.3161,1.5882,6.1261,1.6232,3.1241,0.54105,5.6374,0.61087,3.6826,2.5133,3.6303,1.0297,4.9742,2.1118,2.9671,2.9496,2.3038,2.2166,5.044,2.1991,3.7176,0.90757,NaN,NaN,NaN,0.90757,0.90757,0.90757,NaN,NaN,0.90757,NaN,0.90757,0.90757,NaN,NaN,0.90757,NaN,0.90757,0.90757,0.90757,NaN,0.90757,0.90757,NaN,0.90757,NaN
2,0.27925,0.48869,5.3233,5.4105,4.4331,1.2566,4.2237,2.8274,2.7576,4.1713,3.0194,1.0472,5.4629,1.8675,5.5152,5.5851,4.8171,1.885,5.3058,5.6898,0.85521,0.66323,5.8992,0.75049,5.8992,NaN,NaN,5.8992,NaN,NaN,NaN,NaN,5.8992,NaN,5.8992,NaN,5.8992,5.8992,5.8992,NaN,NaN,5.8992,NaN,5.8992,NaN,5.8992,5.8992,NaN,5.8992,NaN
3,4.2062,1.3788,2.5482,1.7104,4.5553,2.3736,1.9722,0.83776,1.6057,1.5882,4.5379,0.69813,2.0595,3.4907,4.6077,2.234,2.3213,4.8346,2.426,0.59341,0.62832,2.2166,3.3161,0.034907,1.3963,NaN,NaN,NaN,1.3963,1.3963,1.3963,1.3963,NaN,NaN,NaN,1.3963,1.3963,NaN,NaN,1.3963,1.3963,NaN,NaN,NaN,1.3963,1.3963,1.3963,NaN,1.3963,1.3963
4,3.4558,1.4835,2.6878,1.7977,4.8346,2.0769,2.2166,1.117,1.85,1.5184,4.9218,0.61087,1.3265,3.3336,4.66,2.7402,2.4435,4.6949,2.2515,0.54105,0.62832,2.5482,3.1416,0.38397,0.95993,NaN,NaN,NaN,0.95993,0.95993,0.95993,0.95993,NaN,NaN,NaN,0.95993,0.95993,NaN,NaN,0.95993,0.95993,NaN,NaN,NaN,0.95993,0.95993,0.95993,NaN,0.95993,0.95993
5,0.62832,0.43633,2.234,2.5133,1.5359,4.7124,6.2832,6.2308,5.62,5.62,5.7072,3.8223,0.61087,0.62832,3.5605,1.117,5.9865,4.3982,4.7124,3.543,1.0123,2.9496,4.6077,1.1694,4.7822,NaN,4.7822,NaN,4.7822,4.7822,NaN,4.7822,NaN,NaN,NaN,4.7822,NaN,NaN,4.7822,4.7822,4.7822,NaN,4.7822,4.7822,NaN,4.7822,4.7822,NaN,4.7822,NaN
6,4.3284,5.2709,4.3633,0.57596,0.68068,1.7802,2.7402,5.62,4.3808,2.3911,0.22689,2.6529,2.5831,1.5184,3.9444,5.7247,4.2935,2.3213,3.9095,6.0214,6.0214,0.76794,2.5133,4.468,3.7699,NaN,NaN,NaN,NaN,3.7699,NaN,3.7699,NaN,3.7699,NaN,NaN,NaN,NaN,3.7699,3.7699,3.7699,NaN,NaN,NaN,3.7699,NaN,3.7699,3.7699,NaN,3.7699
7,5.4978,0.85521,6.0563,3.0718,3.2638,5.8294,0.069813,3.5779,4.7822,5.1138,3.5081,0.43633,4.852,3.1416,1.7977,3.3161,3.2463,5.2185,1.0996,4.9393,3.3859,2.2166,1.5184,4.6077,5.3407,NaN,5.3407,5.3407,NaN,NaN,NaN,NaN,NaN,5.3407,NaN,NaN,NaN,5.3407,NaN,NaN,5.3407,5.3407,5.3407,5.3407,5.3407,NaN,NaN,5.3407,5.3407,NaN
8,2.1468,5.969,4.9567,6.0388,4.9742,2.7053,1.9548,5.2883,2.6529,2.7751,0.54105,2.81,2.9322,0.45379,0.33161,1.3439,2.6878,2.8972,4.852,2.81,2.9845,4.5204,1.2217,4.9044,4.3982,NaN,NaN,4.3982,NaN,NaN,NaN,4.3982,4.3982,4.3982,NaN,NaN,NaN,NaN,NaN,4.3982,NaN,4.3982,NaN,4.3982,4.3982,4.3982,NaN,4.3982,NaN,NaN
9,3.9095,1.1868,2.5133,1.85,4.852,2.0944,2.1118,0.7854,1.4661,1.6057,4.7822,0.31416,3.6128,3.2812,4.7124,2.2689,2.4958,4.7473,4.7997,0.13963,0.54105,2.4784,3.2987,5.8818,1.2915,NaN,NaN,NaN,1.2915,1.2915,1.2915,1.2915,NaN,NaN,NaN,1.2915,1.2915,NaN,NaN,1.2915,1.2915,NaN,NaN,NaN,1.2915,1.2915,1.2915,NaN,1.2915,1.2915
10,5.7072,5.3756,5.7596,3.9444,4.7298,2.042,3.735,1.4835,1.0297,5.5851,5.8992,2.2166,1.885,1.5882,3.9619,2.9671,4.0143,3.8048,2.0944,4.6949,3.4034,4.7997,4.0317,1.7628,0.33161,NaN,0.33161,NaN,NaN,0.33161,0.33161,NaN,NaN,NaN,NaN,NaN,NaN,0.33161,NaN,NaN,0.33161,0.33161,0.33161,0.33161,NaN,NaN,0.33161,NaN,NaN,NaN
11,0.87266,5.777,5.428,0.55851,3.4732,5.6549,5.5501,4.5379,2.1642,2.2515,0.66323,1.4312,4.8346,2.3038,5.5676,2.3562,6.2483,0.69813,6.2483,0.29671,3.8223,1.3439,1.9897,3.159,1.7977,NaN,NaN,1.7977,NaN,NaN,NaN,NaN,NaN,1.7977,NaN,NaN,NaN,1.7977,1.7977,1.7977,NaN,1.7977,1.7977,NaN,1.7977,NaN,1.7977,NaN,1.7977,NaN
12,6.2657,3.4034,2.5307,0.27925,1.309,5.0789,1.9897,6.0039,5.7247,1.5708,2.6704,2.8623,3.2987,4.9044,5.044,0.38397,3.9968,4.9567,0.48869,3.159,0.83776,2.5307,3.8048,5.9167,4.8346,NaN,NaN,NaN,NaN,NaN,4.8346,NaN,4.8346,NaN,4.8346,4.8346,4.8346,4.8346,4.8346,NaN,4.8346,NaN,4.8346,4.8346,4.8346,NaN,4.8346,NaN,4.8346,4.8346
13,0.71558,0.24435,4.0492,1.5184,4.2586,4.3459,0.034907,4.2237,0.94248,4.9393,0.64577,1.5708,5.1836,6.2832,3.1067,1.1519,3.0194,5.7421,4.0841,4.1364,5.1138,5.6025,5.6374,5.4454,3.6128,NaN,3.6128,NaN,NaN,3.6128,NaN,NaN,3.6128,3.6128,3.6128,NaN,3.6128,3.6128,3.6128,NaN,NaN,3.6128,3.6128,NaN,3.6128,NaN,NaN,3.6128,3.6128,3.6128
14,4.2237,1.3265,2.4609,1.5359,4.6426,2.2515,2.2515,0.8203,1.2566,1.6406,4.7647,0.85521,2.1468,3.5605,4.6077,2.2515,2.3387,4.852,2.2864,6.2657,0.13963,2.2515,3.351,0.24435,1.5184,NaN,NaN,NaN,1.5184,1.5184,1.5184,1.5184,NaN,NaN,NaN,1.5184,1.5184,NaN,NaN,1.5184,1.5184,NaN,NaN,NaN,1.5184,1.5184,1.5184,NaN,1.5184,1.5184
15,5.2709,3.194,1.3439,0.76794,4.5728,5.9865,5.3931,3.0369,6.2134,0.83776,4.5029,0.62832,0.83776,5.6374,3.2114,0.2618,1.9897,2.5656,3.0194,2.3736,3.5081,3.7001,1.0472,0.95993,3.4208,NaN,NaN,NaN,NaN,NaN,NaN,3.4208,3.4208,NaN,NaN,3.4208,NaN,3.4208,NaN,NaN,NaN,NaN,3.4208,3.4208,3.4208,NaN,NaN,NaN,NaN,NaN
16,5.8119,5.3756,5.969,3.5779,5.3058,2.1642,3.4208,6.0737,1.3788,5.4803,6.0912,2.3387,2.1468,1.6232,3.2638,2.81,3.4907,3.8223,2.5482,4.8869,3.4907,4.9218,3.7176,1.5882,0.5236,NaN,0.5236,NaN,NaN,0.5236,0.5236,NaN,NaN,NaN,NaN,NaN,NaN,0.5236,NaN,NaN,0.5236,0.5236,0.5236,0.5236,NaN,NaN,0.5236,NaN,NaN,NaN
17,5.3582,5.0789,3.8223,3.0369,3.5081,5.1313,5.62,2.6704,2.2864,0.087266,3.6477,2.4784,3.2812,3.6128,3.5779,4.0143,5.1138,1.6755,5.7421,0.034907,0.99484,3.6826,1.1345,2.5133,4.1364,NaN,4.1364,NaN,4.1364,NaN,4.1364,4.1364,4.1364,NaN,NaN,NaN,4.1364,4.1364,NaN,NaN,4.1364,4.1364,NaN,4.1364,4.1364,NaN,4.1364,NaN,NaN,NaN
18,0.087266,4.7647,5.6898,3.7525,4.5553,2.1642,3.159,1.7453,1.2566,5.4978,0.05236,2.0246,2.3213,2.0071,3.1067,3.2812,3.3685,4.1539,2.3911,4.2586,4.311,4.8695,4.4157,1.9199,0.05236,NaN,0.05236,NaN,NaN,0.05236,0.05236,NaN,NaN,NaN,NaN,NaN,NaN,0.05236,NaN,NaN,0.05236,0.05236,0.05236,0.05236,NaN,NaN,0.05236,NaN,NaN,NaN
19,4.0317,1.4137,2.5482,2.2689,4.7997,2.3213,2.0944,0.87266,1.6581,1.693,4.9044,0.7854,2.1118,3.4208,4.468,2.2689,2.2864,4.9567,2.1817,0.48869,0.61087,2.1118,3.4732,5.969,1.3963,NaN,NaN,NaN,1.3963,1.3963,1.3963,1.3963,NaN,NaN,NaN,1.3963,1.3963,NaN,NaN,1.3963,1.3963,NaN,NaN,NaN,1.3963,1.3963,1.3963,NaN,1.3963,1.3963
